no,group,speaker,original,pron,trans,comment
1,referee,0,arbitre,[aʁbitʁ / 아흐비트ㅎ],심판,경기를 규칙과 관습에 따라 주관·판정
2,referee,0,president,[pʁezidɑ̃ / 쁘헤지덩],주심,선수 소집·경기 진행·뚜슈 판정·징계 부여
3,referee,0,jury,[ʒyʁi / 쥐히],부심단,주심 양옆에서 반칙·유효면 가림 등 감시
4,etiquette,0,En garde !,[ɑ̃ gaʁd / 엉 갸흐드],갸르드 자세를 취하시오,경기 시작·재시작 명령. Allez 전까지 정지 유지
5,etiquette,0,Prêt ? / Êtes-vous prêts ?,[pʁɛ / 프헷],준비되었습니까?,준비 시 oui(위) / 미준비 시 non(농)
6,etiquette,0,Allez !,[ale / 알레],시작,경기를 시작하라는 명령
7,etiquette,0,Halte !,[alt / 알뜨],정지,경기를 멈추라는 명령
8,attack,0,Attaque !,[atak / 아따끄],공격,한 선수가 공격했을 때 공격권 인정
9,defence,0,Parade !,[paʁad / 빠하드],막기,상대 공격을 막았을 때 수비권 인정
10,defence,0,Riposte !,[ʁipost / 리뽀스트],막고 찌르기,패리 성공 후 곧바로 찌르는 행동
11,defence,0,Contre-riposte !,[kɔ̃tʁ ʁipost / 꽁뜨흐 히뽀스트],재반격,상대 리뽀스트를 되막고 찌르기
12,contre-attaque,0,Arrêt !,[aʁɛ / 아해],역공격,패리 없이 상대 공격 중 공격(꽁뜨르 아따끄)
13,signal,0,contre-attaque,[kɔ̃tʁ‿atak / 꽁뜨 하따끄],역공격,상대 공격 중 공격·수비공격. 대부분 arrêt
14,line,0,Pointe en ligne !,[pwɛ̃t ɑ̃ liɲ / 쁘앙 떵 린느],일직선 위협,칼끝이 유효면을 향해 팔을 뻗은 상태. 공격·수비 동작 아님. 상대 공격 전 선제권 확보.
15,tactics,0,Contre-temps !,[kɔ̃tʁ tɑ̃ / 꽁뜨흐 떵],역타이밍,"공격 도중 상대 아렛에 막고 찌르기, 상대 꽁뜨르 아따끄를 무산하는 동작."
16,rules,0,Simultanée !,[simyltanɛ / 씨뮐따네],동시 동작, 선수가 동시에 공격·행동 에뻬: 양쪽 득점 / 플뢰레·사브르: 보통 무효 후 재시작
17,rules,0,Touche(e) !,[tuʃ / 뚜슈],유효타,득점으로 인정
